sn,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
1719,1985,Bear,1.3751,1.3738,1.3745,2006,Bull,1.3694,1.3658,1.3688,2031,Bear,1.3729,1.3704,1.3707,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1720,1985,Bear,1.3751,1.3738,1.3745,2006,Bull,1.3694,1.3658,1.3688,2046,Bear,1.3717,1.371,1.3714,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1721,1985,Bear,1.3751,1.3738,1.3745,2023,Bull,1.3683,1.3658,1.3675,2031,Bear,1.3729,1.3704,1.3707,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1722,1985,Bear,1.3751,1.3738,1.3745,2023,Bull,1.3683,1.3658,1.3675,2046,Bear,1.3717,1.371,1.3714,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1803,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2137,Bear,1.3577,1.3558,1.3558,2144,Bull,1.3564,1.3532,1.3563,2151,Bear,1.364,1.3602,1.3604,TRUE
1582,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2137,Bear,1.3577,1.3558,1.3558,2144,Bull,1.3564,1.3532,1.3563,2176,Bear,1.3648,1.3621,1.364,TRUE
1584,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2151,Bear,1.364,1.3602,1.3604,2162,Bull,1.3596,1.3585,1.3592,2176,Bear,1.3648,1.3621,1.364,TRUE
1588,2081,Bull,1.3442,1.3412,1.3424,2137,Bear,1.3577,1.3558,1.3558,2144,Bull,1.3564,1.3532,1.3563,2151,Bear,1.364,1.3602,1.3604,2162,Bull,1.3596,1.3585,1.3592,2176,Bear,1.3648,1.3621,1.364,TRUE
1590,2120,Bull,1.3467,1.3434,1.3461,2137,Bear,1.3577,1.3558,1.3558,2144,Bull,1.3564,1.3532,1.3563,2151,Bear,1.364,1.3602,1.3604,2162,Bull,1.3596,1.3585,1.3592,2176,Bear,1.3648,1.3621,1.364,TRUE
747,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2137,Bear,1.3577,1.3558,1.3558,2144,Bull,1.3564,1.3532,1.3563,2245,Bear,1.3659,1.3619,1.364,TRUE
777,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2176,Bear,1.3648,1.3621,1.364,2194,Bull,1.356,1.3544,1.3551,2245,Bear,1.3659,1.3619,1.364,TRUE
780,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2176,Bear,1.3648,1.3621,1.364,2217,Bull,1.3593,1.3571,1.3588,2245,Bear,1.3659,1.3619,1.364,TRUE
781,2081,Bull,1.3442,1.3412,1.3424,2104,Bear,1.3517,1.346,1.3469,2120,Bull,1.3467,1.3434,1.3461,2176,Bear,1.3648,1.3621,1.364,2240,Bull,1.3601,1.3584,1.3592,2245,Bear,1.3659,1.3619,1.364,TRUE
